dataset,max_leaf_nodes,seed,CART,HS-CART,best_lambda_tree,RF,HS-RF,best_lambda_rf
"breast_cancer (binary, AUC)",8,9,0.8868282710280373,0.9468457943925234,5.0,0.9903621495327103,0.9902161214953271,0.1
"breast_cancer (binary, AUC)",16,0,0.899678738317757,0.9473568925233645,5.0,0.9778037383177571,0.9785338785046729,0.1
"breast_cancer (binary, AUC)",16,1,0.9453855140186915,0.974080023364486,200.0,0.9824036214953271,0.9828417056074766,0.1
"breast_cancer (binary, AUC)",16,2,0.868428738317757,0.9688960280373833,200.0,0.9928446261682242,0.9924065420560748,1.0
"breast_cancer (binary, AUC)",16,3,0.9282272196261683,0.9453855140186915,100.0,0.9843019859813085,0.9867114485981309,5.0
"breast_cancer (binary, AUC)",16,4,0.9385952102803738,0.9400554906542056,0.1,0.9746641355140186,0.9804322429906542,2.0
"breast_cancer (binary, AUC)",16,5,0.9468457943925234,0.9442903037383178,0.1,0.9962032710280374,0.9947429906542056,200.0
"breast_cancer (binary, AUC)",16,6,0.962543808411215,0.9802862149532711,50.0,0.9845940420560748,0.9840099299065421,1.0
"breast_cancer (binary, AUC)",16,7,0.9548043224299065,0.9861273364485981,100.0,0.9957651869158879,0.9959112149532711,2.0
"breast_cancer (binary, AUC)",16,8,0.8829585280373832,0.9394713785046729,25.0,0.9906542056074766,0.9896320093457944,25.0
"breast_cancer (binary, AUC)",16,9,0.8487879672897196,0.9522488317757009,50.0,0.9934287383177569,0.9934287383177569,0.1
"breast_cancer (binary, AUC)",32,0,0.9142085280373832,0.9478679906542056,5.0,0.9791910046728971,0.978679906542056,0.1
"breast_cancer (binary, AUC)",32,1,0.9453855140186915,0.974080023364486,200.0,0.9841559579439252,0.9851781542056075,0.1
"breast_cancer (binary, AUC)",32,2,0.9109959112149533,0.9680198598130841,200.0,0.9931366822429907,0.9928446261682243,0.1
"breast_cancer (binary, AUC)",32,3,0.9282272196261683,0.9453855140186915,100.0,0.9858352803738317,0.9867114485981309,5.0
"breast_cancer (binary, AUC)",32,4,0.939106308411215,0.9482330607476636,0.1,0.9741530373831776,0.9810163551401869,2.0
"breast_cancer (binary, AUC)",32,5,0.962543808411215,0.9837178738317758,0.1,0.9969334112149533,0.9947429906542056,200.0
"breast_cancer (binary, AUC)",32,6,0.962543808411215,0.9802862149532711,50.0,0.9858352803738317,0.9835718457943925,1.0
"breast_cancer (binary, AUC)",32,7,0.9548043224299065,0.9861273364485981,100.0,0.9964223130841121,0.9964953271028036,1.0
"breast_cancer (binary, AUC)",32,8,0.8829585280373832,0.9394713785046729,25.0,0.9906542056074765,0.9896320093457943,25.0
"breast_cancer (binary, AUC)",32,9,0.8939106308411215,0.9591851635514018,50.0,0.9937207943925234,0.9935747663551402,0.1
"wine (3-class, accuracy)",4,0,0.8518518518518519,0.8518518518518519,0.1,1.0,1.0,25.0
"wine (3-class, accuracy)",4,1,0.9444444444444444,0.9444444444444444,0.1,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",4,2,0.9444444444444444,0.9444444444444444,0.1,1.0,1.0,0.1
"wine (3-class, accuracy)",4,3,0.8148148148148148,0.8148148148148148,100.0,0.9629629629629629,0.9629629629629629,25.0
"wine (3-class, accuracy)",4,4,0.9814814814814815,0.9814814814814815,0.1,1.0,1.0,0.1
